DETAILED TIMELINE - FIRST HOUR (3600 seconds)
Shows ACTUAL overlapping container execution with correct parallelism

Configuration:
Base Memory (M0),862.0 MB
Memory Multiplier,1.5x
Total GPU Memory,4096.0 MB
Container Duration,60 seconds (1 min)
Max Concurrent,3
Reset Interval,3 containers (memory cycles)

Time (s),Containers Running,Container IDs,Memory Used (MB),Memory %,Remaining (MB),Can Launch New?,Decision Reason
425,3,"C21, C22, C23",4094.5,99.96%,1.5,NO,OOM
430,3,"C22, C23, C24",4094.5,99.96%,1.5,NO,OOM
435,3,"C22, C23, C24",4094.5,99.96%,1.5,NO,OOM
440,3,"C22, C23, C24",4094.5,99.96%,1.5,NO,OOM
445,3,"C22, C23, C24",4094.5,99.96%,1.5,NO,OOM
450,3,"C22, C23, C24",4094.5,99.96%,1.5,NO,OOM
455,3,"C22, C23, C24",4094.5,99.96%,1.5,NO,OOM
460,3,"C22, C23, C24",4094.5,99.96%,1.5,NO,OOM
465,3,"C22, C23, C24",4094.5,99.96%,1.5,NO,OOM
470,3,"C22, C23, C24",4094.5,99.96%,1.5,NO,OOM
475,3,"C22, C23, C24",4094.5,99.96%,1.5,NO,OOM
480,3,"C23, C24, C25",4094.5,99.96%,1.5,NO,OOM
485,3,"C24, C25, C26",4094.5,99.96%,1.5,NO,OOM
490,3,"C25, C26, C27",4094.5,99.96%,1.5,NO,OOM
495,3,"C25, C26, C27",4094.5,99.96%,1.5,NO,OOM
500,3,"C25, C26, C27",4094.5,99.96%,1.5,NO,OOM
505,3,"C25, C26, C27",4094.5,99.96%,1.5,NO,OOM
510,3,"C25, C26, C27",4094.5,99.96%,1.5,NO,OOM
515,3,"C25, C26, C27",4094.5,99.96%,1.5,NO,OOM
520,3,"C25, C26, C27",4094.5,99.96%,1.5,NO,OOM
525,3,"C25, C26, C27",4094.5,99.96%,1.5,NO,OOM
530,3,"C25, C26, C27",4094.5,99.96%,1.5,NO,OOM
535,3,"C25, C26, C27",4094.5,99.96%,1.5,NO,OOM
540,3,"C26, C27, C28",4094.5,99.96%,1.5,NO,OOM
545,3,"C27, C28, C29",4094.5,99.96%,1.5,NO,OOM
550,3,"C28, C29, C30",4094.5,99.96%,1.5,NO,OOM
555,3,"C28, C29, C30",4094.5,99.96%,1.5,NO,OOM
560,3,"C28, C29, C30",4094.5,99.96%,1.5,NO,OOM
565,3,"C28, C29, C30",4094.5,99.96%,1.5,NO,OOM
570,3,"C28, C29, C30",4094.5,99.96%,1.5,NO,OOM
575,3,"C28, C29, C30",4094.5,99.96%,1.5,NO,OOM
580,3,"C28, C29, C30",4094.5,99.96%,1.5,NO,OOM
585,3,"C28, C29, C30",4094.5,99.96%,1.5,NO,OOM
590,3,"C28, C29, C30",4094.5,99.96%,1.5,NO,OOM
595,3,"C28, C29, C30",4094.5,99.96%,1.5,NO,OOM
600,3,"C29, C30, C31",4094.5,99.96%,1.5,NO,OOM
605,3,"C30, C31, C32",4094.5,99.96%,1.5,NO,OOM
610,3,"C31, C32, C33",4094.5,99.96%,1.5,NO,OOM
615,3,"C31, C32, C33",4094.5,99.96%,1.5,NO,OOM
620,3,"C31, C32, C33",4094.5,99.96%,1.5,NO,OOM
625,3,"C31, C32, C33",4094.5,99.96%,1.5,NO,OOM
630,3,"C31, C32, C33",4094.5,99.96%,1.5,NO,OOM
635,3,"C31, C32, C33",4094.5,99.96%,1.5,NO,OOM
640,3,"C31, C32, C33",4094.5,99.96%,1.5,NO,OOM
645,3,"C31, C32, C33",4094.5,99.96%,1.5,NO,OOM
650,3,"C31, C32, C33",4094.5,99.96%,1.5,NO,OOM
655,3,"C31, C32, C33",4094.5,99.96%,1.5,NO,OOM
660,3,"C32, C33, C34",4094.5,99.96%,1.5,NO,OOM
665,3,"C33, C34, C35",4094.5,99.96%,1.5,NO,OOM
670,3,"C34, C35, C36",4094.5,99.96%,1.5,NO,OOM
675,3,"C34, C35, C36",4094.5,99.96%,1.5,NO,OOM
680,3,"C34, C35, C36",4094.5,99.96%,1.5,NO,OOM
685,3,"C34, C35, C36",4094.5,99.96%,1.5,NO,OOM
690,3,"C34, C35, C36",4094.5,99.96%,1.5,NO,OOM
695,3,"C34, C35, C36",4094.5,99.96%,1.5,NO,OOM
700,3,"C34, C35, C36",4094.5,99.96%,1.5,NO,OOM
