MEMORY USAGE TIMELINE
Generated from container execution schedule with reset-every-3 memory model
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5
  Container Duration: 60 seconds
  Reset Interval: 3 containers

Timestamp (s),Active Containers (count),Container IDs,Total Memory Used (MB),Used %,Remaining Capacity (MB),Available %,Memory Pressure,Can Launch?
220,12,"C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
225,12,"C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
230,12,"C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
235,12,"C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
240,12,"C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
245,12,"C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
250,12,"C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
255,12,"C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
260,12,"C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
265,12,"C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
270,12,"C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
275,12,"C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
280,12,"C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
285,12,"C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
290,12,"C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
295,12,"C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
300,12,"C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
305,12,"C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
310,12,"C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
315,12,"C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
320,12,"C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
325,12,"C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
330,12,"C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
335,12,"C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
340,12,"C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
345,12,"C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
350,12,"C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
355,12,"C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
360,12,"C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
365,12,"C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
370,12,"C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
375,12,"C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
380,12,"C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
385,12,"C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
390,12,"C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
395,12,"C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
400,12,"C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
405,12,"C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
410,12,"C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
415,12,"C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
420,12,"C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
425,12,"C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
430,12,"C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
435,12,"C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
440,12,"C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
445,12,"C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
450,12,"C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
455,12,"C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
460,12,"C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
465,12,"C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
470,12,"C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
475,12,"C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
480,12,"C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
485,12,"C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
490,12,"C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
495,12,"C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
500,12,"C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
505,12,"C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
510,12,"C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
515,12,"C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
520,12,"C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
525,12,"C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
530,12,"C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
535,12,"C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
540,12,"C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
545,12,"C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
550,12,"C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
555,12,"C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
560,12,"C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
565,12,"C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
570,12,"C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
575,12,"C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
580,12,"C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
585,12,"C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
590,12,"C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
595,12,"C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
600,12,"C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
