MEMORY USAGE TIMELINE
Generated from container execution schedule with reset-every-3 memory model
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5
  Container Duration: 60 seconds
  Reset Interval: 3 containers

Timestamp (s),Active Containers (count),Container IDs,Total Memory Used (MB),Used %,Remaining Capacity (MB),Available %,Memory Pressure,Can Launch?
930,12,"C176, C177, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
935,12,"C177, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
940,12,"C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
945,12,"C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C190",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
950,12,"C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C190, C191",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
955,12,"C181, C182, C183, C184, C185, C186, C187, C188, C189, C190, C191, C192",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
960,12,"C182, C183, C184, C185, C186, C187, C188, C189, C190, C191, C192, C193",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
965,12,"C183, C184, C185, C186, C187, C188, C189, C190, C191, C192, C193, C194",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
970,12,"C184, C185, C186, C187, C188, C189, C190, C191, C192, C193, C194, C195",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
975,12,"C185, C186, C187, C188, C189, C190, C191, C192, C193, C194, C195, C196",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
980,12,"C186, C187, C188, C189, C190, C191, C192, C193, C194, C195, C196, C197",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
985,12,"C187, C188, C189, C190, C191, C192, C193, C194, C195, C196, C197, C198",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
990,12,"C188, C189, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
995,12,"C189, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C200",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1000,12,"C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C200, C201",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1005,12,"C191, C192, C193, C194, C195, C196, C197, C198, C199, C200, C201, C202",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1010,12,"C192, C193, C194, C195, C196, C197, C198, C199, C200, C201, C202, C203",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1015,12,"C193, C194, C195, C196, C197, C198, C199, C200, C201, C202, C203, C204",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1020,12,"C194, C195, C196, C197, C198, C199, C200, C201, C202, C203, C204, C205",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1025,12,"C195, C196, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1030,12,"C196, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1035,12,"C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1040,12,"C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C209",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1045,12,"C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C209, C210",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1050,12,"C200, C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1055,12,"C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C212",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1060,12,"C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1065,12,"C203, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1070,12,"C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1075,12,"C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1080,12,"C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C217",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1085,12,"C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C217, C218",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1090,12,"C208, C209, C210, C211, C212, C213, C214, C215, C216, C217, C218, C219",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1095,12,"C209, C210, C211, C212, C213, C214, C215, C216, C217, C218, C219, C220",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1100,12,"C210, C211, C212, C213, C214, C215, C216, C217, C218, C219, C220, C221",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1105,12,"C211, C212, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1110,12,"C212, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C223",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1115,12,"C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C223, C224",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1120,12,"C214, C215, C216, C217, C218, C219, C220, C221, C222, C223, C224, C225",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1125,12,"C215, C216, C217, C218, C219, C220, C221, C222, C223, C224, C225, C226",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1130,12,"C216, C217, C218, C219, C220, C221, C222, C223, C224, C225, C226, C227",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1135,12,"C217, C218, C219, C220, C221, C222, C223, C224, C225, C226, C227, C228",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1140,12,"C218, C219, C220, C221, C222, C223, C224, C225, C226, C227, C228, C229",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1145,12,"C219, C220, C221, C222, C223, C224, C225, C226, C227, C228, C229, C230",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1150,12,"C220, C221, C222, C223, C224, C225, C226, C227, C228, C229, C230, C231",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1155,12,"C221, C222, C223, C224, C225, C226, C227, C228, C229, C230, C231, C232",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1160,12,"C222, C223, C224, C225, C226, C227, C228, C229, C230, C231, C232, C233",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1165,12,"C223, C224, C225, C226, C227, C228, C229, C230, C231, C232, C233, C234",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1170,12,"C224, C225, C226, C227, C228, C229, C230, C231, C232, C233, C234, C235",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1175,12,"C225, C226, C227, C228, C229, C230, C231, C232, C233, C234, C235, C236",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1180,12,"C226, C227, C228, C229, C230, C231, C232, C233, C234, C235, C236, C237",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1185,12,"C227, C228, C229, C230, C231, C232, C233, C234, C235, C236, C237, C238",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1190,12,"C228, C229, C230, C231, C232, C233, C234, C235, C236, C237, C238, C239",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1195,12,"C229, C230, C231, C232, C233, C234, C235, C236, C237, C238, C239, C240",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1200,12,"C230, C231, C232, C233, C234, C235, C236, C237, C238, C239, C240, C241",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1205,12,"C231, C232, C233, C234, C235, C236, C237, C238, C239, C240, C241, C242",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1210,12,"C232, C233, C234, C235, C236, C237, C238, C239, C240, C241, C242, C243",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1215,12,"C233, C234, C235, C236, C237, C238, C239, C240, C241, C242, C243, C244",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1220,12,"C234, C235, C236, C237, C238, C239, C240, C241, C242, C243, C244, C245",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1225,12,"C235, C236, C237, C238, C239, C240, C241, C242, C243, C244, C245, C246",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1230,12,"C236, C237, C238, C239, C240, C241, C242, C243, C244, C245, C246, C247",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1235,12,"C237, C238, C239, C240, C241, C242, C243, C244, C245, C246, C247, C248",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1240,12,"C238, C239, C240, C241, C242, C243, C244, C245, C246, C247, C248, C249",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1245,12,"C239, C240, C241, C242, C243, C244, C245, C246, C247, C248, C249, C250",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1250,12,"C240, C241, C242, C243, C244, C245, C246, C247, C248, C249, C250, C251",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1255,12,"C241, C242, C243, C244, C245, C246, C247, C248, C249, C250, C251, C252",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1260,12,"C242, C243, C244, C245, C246, C247, C248, C249, C250, C251, C252, C253",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1265,12,"C243, C244, C245, C246, C247, C248, C249, C250, C251, C252, C253, C254",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1270,12,"C244, C245, C246, C247, C248, C249, C250, C251, C252, C253, C254, C255",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1275,12,"C245, C246, C247, C248, C249, C250, C251, C252, C253, C254, C255, C256",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1280,12,"C246, C247, C248, C249, C250, C251, C252, C253, C254, C255, C256, C257",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1285,12,"C247, C248, C249, C250, C251, C252, C253, C254, C255, C256, C257, C258",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1290,12,"C248, C249, C250, C251, C252, C253, C254, C255, C256, C257, C258, C259",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1295,12,"C249, C250, C251, C252, C253, C254, C255, C256, C257, C258, C259, C260",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1300,12,"C250, C251, C252, C253, C254, C255, C256, C257, C258, C259, C260, C261",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1305,12,"C251, C252, C253, C254, C255, C256, C257, C258, C259, C260, C261, C262",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1310,12,"C252, C253, C254, C255, C256, C257, C258, C259, C260, C261, C262, C263",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1315,12,"C253, C254, C255, C256, C257, C258, C259, C260, C261, C262, C263, C264",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1320,12,"C254, C255, C256, C257, C258, C259, C260, C261, C262, C263, C264, C265",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1325,12,"C255, C256, C257, C258, C259, C260, C261, C262, C263, C264, C265, C266",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1330,12,"C256, C257, C258, C259, C260, C261, C262, C263, C264, C265, C266, C267",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1335,12,"C257, C258, C259, C260, C261, C262, C263, C264, C265, C266, C267, C268",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1340,12,"C258, C259, C260, C261, C262, C263, C264, C265, C266, C267, C268, C269",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1345,12,"C259, C260, C261, C262, C263, C264, C265, C266, C267, C268, C269, C270",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1350,12,"C260, C261, C262, C263, C264, C265, C266, C267, C268, C269, C270, C271",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1355,12,"C261, C262, C263, C264, C265, C266, C267, C268, C269, C270, C271, C272",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1360,12,"C262, C263, C264, C265, C266, C267, C268, C269, C270, C271, C272, C273",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1365,12,"C263, C264, C265, C266, C267, C268, C269, C270, C271, C272, C273, C274",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1370,12,"C264, C265, C266, C267, C268, C269, C270, C271, C272, C273, C274, C275",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1375,12,"C265, C266, C267, C268, C269, C270, C271, C272, C273, C274, C275, C276",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1380,12,"C266, C267, C268, C269, C270, C271, C272, C273, C274, C275, C276, C277",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1385,12,"C267, C268, C269, C270, C271, C272, C273, C274, C275, C276, C277, C278",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1390,12,"C268, C269, C270, C271, C272, C273, C274, C275, C276, C277, C278, C279",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1395,12,"C269, C270, C271, C272, C273, C274, C275, C276, C277, C278, C279, C280",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1400,12,"C270, C271, C272, C273, C274, C275, C276, C277, C278, C279, C280, C281",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1405,12,"C271, C272, C273, C274, C275, C276, C277, C278, C279, C280, C281, C282",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1410,12,"C272, C273, C274, C275, C276, C277, C278, C279, C280, C281, C282, C283",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1415,12,"C273, C274, C275, C276, C277, C278, C279, C280, C281, C282, C283, C284",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1420,12,"C274, C275, C276, C277, C278, C279, C280, C281, C282, C283, C284, C285",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1425,12,"C275, C276, C277, C278, C279, C280, C281, C282, C283, C284, C285, C286",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1430,12,"C276, C277, C278, C279, C280, C281, C282, C283, C284, C285, C286, C287",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1435,12,"C277, C278, C279, C280, C281, C282, C283, C284, C285, C286, C287, C288",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1440,12,"C278, C279, C280, C281, C282, C283, C284, C285, C286, C287, C288, C289",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1445,12,"C279, C280, C281, C282, C283, C284, C285, C286, C287, C288, C289, C290",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1450,12,"C280, C281, C282, C283, C284, C285, C286, C287, C288, C289, C290, C291",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1455,12,"C281, C282, C283, C284, C285, C286, C287, C288, C289, C290, C291, C292",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1460,12,"C282, C283, C284, C285, C286, C287, C288, C289, C290, C291, C292, C293",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1465,12,"C283, C284, C285, C286, C287, C288, C289, C290, C291, C292, C293, C294",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1470,12,"C284, C285, C286, C287, C288, C289, C290, C291, C292, C293, C294, C295",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1475,12,"C285, C286, C287, C288, C289, C290, C291, C292, C293, C294, C295, C296",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1480,12,"C286, C287, C288, C289, C290, C291, C292, C293, C294, C295, C296, C297",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1485,12,"C287, C288, C289, C290, C291, C292, C293, C294, C295, C296, C297, C298",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1490,12,"C288, C289, C290, C291, C292, C293, C294, C295, C296, C297, C298, C299",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1495,12,"C289, C290, C291, C292, C293, C294, C295, C296, C297, C298, C299, C300",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1500,12,"C290, C291, C292, C293, C294, C295, C296, C297, C298, C299, C300, C301",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1505,12,"C291, C292, C293, C294, C295, C296, C297, C298, C299, C300, C301, C302",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1510,12,"C292, C293, C294, C295, C296, C297, C298, C299, C300, C301, C302, C303",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1515,12,"C293, C294, C295, C296, C297, C298, C299, C300, C301, C302, C303, C304",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1520,12,"C294, C295, C296, C297, C298, C299, C300, C301, C302, C303, C304, C305",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1525,12,"C295, C296, C297, C298, C299, C300, C301, C302, C303, C304, C305, C306",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1530,12,"C296, C297, C298, C299, C300, C301, C302, C303, C304, C305, C306, C307",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1535,12,"C297, C298, C299, C300, C301, C302, C303, C304, C305, C306, C307, C308",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1540,12,"C298, C299, C300, C301, C302, C303, C304, C305, C306, C307, C308, C309",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1545,12,"C299, C300, C301, C302, C303, C304, C305, C306, C307, C308, C309, C310",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1550,12,"C300, C301, C302, C303, C304, C305, C306, C307, C308, C309, C310, C311",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1555,12,"C301, C302, C303, C304, C305, C306, C307, C308, C309, C310, C311, C312",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1560,12,"C302, C303, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1565,12,"C303, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C314",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1570,12,"C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C314, C315",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1575,12,"C305, C306, C307, C308, C309, C310, C311, C312, C313, C314, C315, C316",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1580,12,"C306, C307, C308, C309, C310, C311, C312, C313, C314, C315, C316, C317",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1585,12,"C307, C308, C309, C310, C311, C312, C313, C314, C315, C316, C317, C318",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1590,12,"C308, C309, C310, C311, C312, C313, C314, C315, C316, C317, C318, C319",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1595,12,"C309, C310, C311, C312, C313, C314, C315, C316, C317, C318, C319, C320",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1600,12,"C310, C311, C312, C313, C314, C315, C316, C317, C318, C319, C320, C321",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1605,12,"C311, C312, C313, C314, C315, C316, C317, C318, C319, C320, C321, C322",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1610,12,"C312, C313, C314, C315, C316, C317, C318, C319, C320, C321, C322, C323",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1615,12,"C313, C314, C315, C316, C317, C318, C319, C320, C321, C322, C323, C324",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1620,12,"C314, C315, C316, C317, C318, C319, C320, C321, C322, C323, C324, C325",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1625,12,"C315, C316, C317, C318, C319, C320, C321, C322, C323, C324, C325, C326",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1630,12,"C316, C317, C318, C319, C320, C321, C322, C323, C324, C325, C326, C327",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1635,12,"C317, C318, C319, C320, C321, C322, C323, C324, C325, C326, C327, C328",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1640,12,"C318, C319, C320, C321, C322, C323, C324, C325, C326, C327, C328, C329",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1645,12,"C319, C320, C321, C322, C323, C324, C325, C326, C327, C328, C329, C330",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1650,12,"C320, C321, C322, C323, C324, C325, C326, C327, C328, C329, C330, C331",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1655,12,"C321, C322, C323, C324, C325, C326, C327, C328, C329, C330, C331, C332",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1660,12,"C322, C323, C324, C325, C326, C327, C328, C329, C330, C331, C332, C333",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1665,12,"C323, C324, C325, C326, C327, C328, C329, C330, C331, C332, C333, C334",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1670,12,"C324, C325, C326, C327, C328, C329, C330, C331, C332, C333, C334, C335",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1675,12,"C325, C326, C327, C328, C329, C330, C331, C332, C333, C334, C335, C336",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1680,12,"C326, C327, C328, C329, C330, C331, C332, C333, C334, C335, C336, C337",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1685,12,"C327, C328, C329, C330, C331, C332, C333, C334, C335, C336, C337, C338",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1690,12,"C328, C329, C330, C331, C332, C333, C334, C335, C336, C337, C338, C339",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1695,12,"C329, C330, C331, C332, C333, C334, C335, C336, C337, C338, C339, C340",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1700,12,"C330, C331, C332, C333, C334, C335, C336, C337, C338, C339, C340, C341",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1705,12,"C331, C332, C333, C334, C335, C336, C337, C338, C339, C340, C341, C342",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1710,12,"C332, C333, C334, C335, C336, C337, C338, C339, C340, C341, C342, C343",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1715,12,"C333, C334, C335, C336, C337, C338, C339, C340, C341, C342, C343, C344",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1720,12,"C334, C335, C336, C337, C338, C339, C340, C341, C342, C343, C344, C345",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1725,12,"C335, C336, C337, C338, C339, C340, C341, C342, C343, C344, C345, C346",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1730,12,"C336, C337, C338, C339, C340, C341, C342, C343, C344, C345, C346, C347",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1735,12,"C337, C338, C339, C340, C341, C342, C343, C344, C345, C346, C347, C348",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1740,12,"C338, C339, C340, C341, C342, C343, C344, C345, C346, C347, C348, C349",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1745,12,"C339, C340, C341, C342, C343, C344, C345, C346, C347, C348, C349, C350",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1750,12,"C340, C341, C342, C343, C344, C345, C346, C347, C348, C349, C350, C351",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1755,12,"C341, C342, C343, C344, C345, C346, C347, C348, C349, C350, C351, C352",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1760,12,"C342, C343, C344, C345, C346, C347, C348, C349, C350, C351, C352, C353",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1765,12,"C343, C344, C345, C346, C347, C348, C349, C350, C351, C352, C353, C354",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1770,12,"C344, C345, C346, C347, C348, C349, C350, C351, C352, C353, C354, C355",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1775,12,"C345, C346, C347, C348, C349, C350, C351, C352, C353, C354, C355, C356",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1780,12,"C346, C347, C348, C349, C350, C351, C352, C353, C354, C355, C356, C357",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1785,12,"C347, C348, C349, C350, C351, C352, C353, C354, C355, C356, C357, C358",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1790,12,"C348, C349, C350, C351, C352, C353, C354, C355, C356, C357, C358, C359",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1795,12,"C349, C350, C351, C352, C353, C354, C355, C356, C357, C358, C359, C360",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1800,12,"C350, C351, C352, C353, C354, C355, C356, C357, C358, C359, C360, C361",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1805,12,"C351, C352, C353, C354, C355, C356, C357, C358, C359, C360, C361, C362",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1810,12,"C352, C353, C354, C355, C356, C357, C358, C359, C360, C361, C362, C363",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1815,12,"C353, C354, C355, C356, C357, C358, C359, C360, C361, C362, C363, C364",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1820,12,"C354, C355, C356, C357, C358, C359, C360, C361, C362, C363, C364, C365",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1825,12,"C355, C356, C357, C358, C359, C360, C361, C362, C363, C364, C365, C366",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1830,12,"C356, C357, C358, C359, C360, C361, C362, C363, C364, C365, C366, C367",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1835,12,"C357, C358, C359, C360, C361, C362, C363, C364, C365, C366, C367, C368",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1840,12,"C358, C359, C360, C361, C362, C363, C364, C365, C366, C367, C368, C369",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1845,12,"C359, C360, C361, C362, C363, C364, C365, C366, C367, C368, C369, C370",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1850,12,"C360, C361, C362, C363, C364, C365, C366, C367, C368, C369, C370, C371",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
1855,12,"C361, C362, C363, C364, C365, C366, C367, C368, C369, C370, C371, C372",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
