CONTAINER EXECUTION DATA
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5

Container ID,Memory Allocated (MB),Expected Duration (s),Launch Time (s),Completion Time (s),Actual Duration (s),Duration Accuracy,Success,Execution Status,Memory Efficiency %
1,862.0,60,1774030009.00,1774030078.39,69.39,84.3%,Yes,✓ Completed,21.0%
2,1293.0,60,1774030014.00,1774030078.36,64.35,92.7%,Yes,✓ Completed,31.6%
3,1939.5,60,1774030019.01,1774030082.84,63.83,93.6%,Yes,✓ Completed,47.4%
4,862.0,60,1774030079.03,1774030142.82,63.79,93.7%,Yes,✓ Completed,21.0%
5,1293.0,60,1774030084.03,1774030147.65,63.62,94.0%,Yes,✓ Completed,31.6%
6,1939.5,60,1774030089.03,1774030152.82,63.79,93.7%,Yes,✓ Completed,47.4%
7,862.0,60,1774030144.04,1774030207.90,63.85,93.6%,Yes,✓ Completed,21.0%
8,1293.0,60,1774030149.05,1774030212.76,63.72,93.8%,Yes,✓ Completed,31.6%
9,1939.5,60,1774030154.05,1774030217.94,63.89,93.5%,Yes,✓ Completed,47.4%
10,862.0,60,1774030209.07,1774030272.78,63.71,93.8%,Yes,✓ Completed,21.0%
11,1293.0,60,1774030214.07,1774030277.95,63.87,93.5%,Yes,✓ Completed,31.6%
12,1939.5,60,1774030219.07,1774030282.88,63.80,93.7%,Yes,✓ Completed,47.4%
13,862.0,60,1774030274.09,1774030337.86,63.77,93.7%,Yes,✓ Completed,21.0%
14,1293.0,60,1774030279.10,1774030342.93,63.83,93.6%,Yes,✓ Completed,31.6%
15,1939.5,60,1774030284.10,1774030347.76,63.66,93.9%,Yes,✓ Completed,47.4%
16,862.0,60,1774030339.13,1774030403.01,63.88,93.5%,Yes,✓ Completed,21.0%
17,1293.0,60,1774030344.13,1774030408.07,63.94,93.4%,Yes,✓ Completed,31.6%
18,1939.5,60,1774030349.13,1774030413.00,63.87,93.6%,Yes,✓ Completed,47.4%
19,862.0,60,1774030404.16,1774030468.09,63.93,93.5%,Yes,✓ Completed,21.0%
20,1293.0,60,1774030409.17,1774030473.01,63.84,93.6%,Yes,✓ Completed,31.6%
21,1939.5,60,1774030414.17,1774030478.00,63.83,93.6%,Yes,✓ Completed,47.4%
22,862.0,60,1774030469.20,1774030533.07,63.87,93.6%,Yes,✓ Completed,21.0%
23,1293.0,60,1774030474.20,1774030538.06,63.86,93.6%,Yes,✓ Completed,31.6%
24,1939.5,60,1774030479.20,1774030542.92,63.72,93.8%,Yes,✓ Completed,47.4%
25,862.0,60,1774030534.22,1774030597.98,63.76,93.7%,Yes,✓ Completed,21.0%
26,1293.0,60,1774030539.22,1774030603.00,63.78,93.7%,Yes,✓ Completed,31.6%
27,1939.5,60,1774030544.23,1774030607.98,63.75,93.7%,Yes,✓ Completed,47.4%
28,862.0,60,1774030599.24,1774030663.18,63.94,93.4%,Yes,✓ Completed,21.0%
29,1293.0,60,1774030604.25,1774030668.18,63.94,93.4%,Yes,✓ Completed,31.6%
30,1939.5,60,1774030609.25,1774030672.95,63.70,93.8%,Yes,✓ Completed,47.4%
31,862.0,60,1774030664.28,1774030728.05,63.77,93.7%,Yes,✓ Completed,21.0%
32,1293.0,60,1774030669.29,1774030733.09,63.80,93.7%,Yes,✓ Completed,31.6%
33,1939.5,60,1774030674.29,1774030738.08,63.79,93.7%,Yes,✓ Completed,47.4%
34,862.0,60,1774030729.32,1774030793.13,63.82,93.6%,Yes,✓ Completed,21.0%
35,1293.0,60,1774030734.32,1774030798.11,63.79,93.7%,Yes,✓ Completed,31.6%
36,1939.5,60,1774030739.33,1774030803.10,63.77,93.7%,Yes,✓ Completed,47.4%
37,862.0,60,1774030794.34,1774030858.15,63.80,93.7%,Yes,✓ Completed,21.0%
38,1293.0,60,1774030799.35,1774030863.23,63.88,93.5%,Yes,✓ Completed,31.6%
39,1939.5,60,1774030804.35,1774030868.15,63.80,93.7%,Yes,✓ Completed,47.4%
40,862.0,60,1774030859.37,1774030923.10,63.74,93.8%,Yes,✓ Completed,21.0%
41,1293.0,60,1774030864.37,1774030928.14,63.77,93.7%,Yes,✓ Completed,31.6%
42,1939.5,60,1774030869.38,1774030933.02,63.65,93.9%,Yes,✓ Completed,47.4%
43,862.0,60,1774030924.40,1774030988.11,63.71,93.8%,Yes,✓ Completed,21.0%
44,1293.0,60,1774030929.40,1774030993.18,63.78,93.7%,Yes,✓ Completed,31.6%
45,1939.5,60,1774030934.40,1774030998.09,63.69,93.8%,Yes,✓ Completed,47.4%
46,862.0,60,1774030989.43,1774031053.23,63.80,93.7%,Yes,✓ Completed,21.0%
47,1293.0,60,1774030994.43,1774031058.22,63.79,93.7%,Yes,✓ Completed,31.6%
48,1939.5,60,1774030999.44,1774031063.24,63.80,93.7%,Yes,✓ Completed,47.4%
49,862.0,60,1774031054.46,1774031118.30,63.84,93.6%,Yes,✓ Completed,21.0%
50,1293.0,60,1774031059.46,1774031123.37,63.90,93.5%,Yes,✓ Completed,31.6%
51,1939.5,60,1774031064.47,1774031128.14,63.67,93.9%,Yes,✓ Completed,47.4%
