CONTAINER EXECUTION DATA
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5

Container ID,Memory Allocated (MB),Expected Duration (s),Launch Time (s),Completion Time (s),Actual Duration (s),Duration Accuracy,Success,Execution Status,Memory Efficiency %
52,862.0,60,1774031119.49,1774031183.27,63.79,93.7%,Yes,✓ Completed,21.0%
53,1293.0,60,1774031124.49,1774031188.24,63.75,93.8%,Yes,✓ Completed,31.6%
54,1939.5,60,1774031129.50,1774031193.36,63.86,93.6%,Yes,✓ Completed,47.4%
55,862.0,60,1774031184.51,1774031248.29,63.78,93.7%,Yes,✓ Completed,21.0%
56,1293.0,60,1774031189.52,1774031253.48,63.97,93.4%,Yes,✓ Completed,31.6%
57,1939.5,60,1774031194.52,1774031258.61,64.09,93.2%,Yes,✓ Completed,47.4%
58,862.0,60,1774031249.54,1774031313.40,63.87,93.6%,Yes,✓ Completed,21.0%
59,1293.0,60,1774031254.55,1774031318.35,63.80,93.7%,Yes,✓ Completed,31.6%
60,1939.5,60,1774031259.56,1774031323.69,64.14,93.1%,Yes,✓ Completed,47.4%
61,862.0,60,1774031314.59,1774031378.35,63.76,93.7%,Yes,✓ Completed,21.0%
62,1293.0,60,1774031319.60,1774031383.45,63.85,93.6%,Yes,✓ Completed,31.6%
63,1939.5,60,1774031324.60,1774031388.39,63.79,93.7%,Yes,✓ Completed,47.4%
64,862.0,60,1774031379.62,1774031443.33,63.70,93.8%,Yes,✓ Completed,21.0%
65,1293.0,60,1774031384.63,1774031448.39,63.76,93.7%,Yes,✓ Completed,31.6%
66,1939.5,60,1774031389.63,1774031453.34,63.71,93.8%,Yes,✓ Completed,47.4%
67,862.0,60,1774031444.66,1774031508.56,63.90,93.5%,Yes,✓ Completed,21.0%
68,1293.0,60,1774031449.66,1774031513.38,63.72,93.8%,Yes,✓ Completed,31.6%
69,1939.5,60,1774031454.66,1774031518.48,63.82,93.6%,Yes,✓ Completed,47.4%
70,862.0,60,1774031509.69,1774031573.48,63.79,93.7%,Yes,✓ Completed,21.0%
71,1293.0,60,1774031514.69,1774031578.44,63.75,93.8%,Yes,✓ Completed,31.6%
72,1939.5,60,1774031519.70,1774031583.67,63.98,93.4%,Yes,✓ Completed,47.4%
73,862.0,60,1774031574.71,1774031638.74,64.03,93.3%,Yes,✓ Completed,21.0%
74,1293.0,60,1774031579.71,1774031643.79,64.08,93.2%,Yes,✓ Completed,31.6%
75,1939.5,60,1774031584.72,1774031648.88,64.16,93.1%,Yes,✓ Completed,47.4%
76,862.0,60,1774031639.75,1774031703.71,63.95,93.4%,Yes,✓ Completed,21.0%
77,1293.0,60,1774031644.76,1774031708.59,63.83,93.6%,Yes,✓ Completed,31.6%
78,1939.5,60,1774031649.77,1774031713.67,63.90,93.5%,Yes,✓ Completed,47.4%
79,862.0,60,1774031704.80,1774031768.55,63.75,93.7%,Yes,✓ Completed,21.0%
80,1293.0,60,1774031709.80,1774031773.62,63.82,93.6%,Yes,✓ Completed,31.6%
81,1939.5,60,1774031714.80,1774031778.69,63.88,93.5%,Yes,✓ Completed,47.4%
82,862.0,60,1774031769.82,1774031833.61,63.79,93.7%,Yes,✓ Completed,21.0%
83,1293.0,60,1774031774.82,1774031838.58,63.76,93.7%,Yes,✓ Completed,31.6%
84,1939.5,60,1774031779.83,1774031843.56,63.74,93.8%,Yes,✓ Completed,47.4%
85,862.0,60,1774031834.85,1774031898.76,63.91,93.5%,Yes,✓ Completed,21.0%
86,1293.0,60,1774031839.85,1774031903.71,63.86,93.6%,Yes,✓ Completed,31.6%
87,1939.5,60,1774031844.85,1774031908.58,63.73,93.8%,Yes,✓ Completed,47.4%
88,862.0,60,1774031899.88,1774031963.63,63.75,93.8%,Yes,✓ Completed,21.0%
89,1293.0,60,1774031904.89,1774031968.78,63.89,93.5%,Yes,✓ Completed,31.6%
90,1939.5,60,1774031909.89,1774031973.62,63.73,93.8%,Yes,✓ Completed,47.4%
91,862.0,60,1774031964.92,1774032028.79,63.86,93.6%,Yes,✓ Completed,21.0%
92,1293.0,60,1774031969.92,1774032033.67,63.74,93.8%,Yes,✓ Completed,31.6%
93,1939.5,60,1774031974.93,1774032038.85,63.92,93.5%,Yes,✓ Completed,47.4%
94,862.0,60,1774032029.95,1774032093.72,63.77,93.7%,Yes,✓ Completed,21.0%
95,1293.0,60,1774032034.95,1774032098.75,63.80,93.7%,Yes,✓ Completed,31.6%
96,1939.5,60,1774032039.95,1774032103.70,63.75,93.8%,Yes,✓ Completed,47.4%
97,862.0,60,1774032094.97,1774032158.80,63.83,93.6%,Yes,✓ Completed,21.0%
98,1293.0,60,1774032099.98,1774032163.84,63.86,93.6%,Yes,✓ Completed,31.6%
99,1939.5,60,1774032104.98,1774032168.70,63.72,93.8%,Yes,✓ Completed,47.4%
100,862.0,60,1774032160.01,1774032223.73,63.72,93.8%,Yes,✓ Completed,21.0%
101,1293.0,60,1774032165.01,1774032228.87,63.85,93.6%,Yes,✓ Completed,31.6%
102,1939.5,60,1774032170.02,1774032233.72,63.71,93.8%,Yes,✓ Completed,47.4%
103,862.0,60,1774032225.04,1774032288.88,63.84,93.6%,Yes,✓ Completed,21.0%
104,1293.0,60,1774032230.05,1774032293.93,63.89,93.5%,Yes,✓ Completed,31.6%
105,1939.5,60,1774032235.05,1774032298.97,63.93,93.5%,Yes,✓ Completed,47.4%
106,862.0,60,1774032290.07,1774032353.87,63.81,93.7%,Yes,✓ Completed,21.0%
107,1293.0,60,1774032295.07,1774032358.95,63.88,93.5%,Yes,✓ Completed,31.6%
108,1939.5,60,1774032300.08,1774032363.85,63.77,93.7%,Yes,✓ Completed,47.4%
109,862.0,60,1774032355.10,1774032418.97,63.88,93.5%,Yes,✓ Completed,21.0%
110,1293.0,60,1774032360.10,1774032423.89,63.79,93.7%,Yes,✓ Completed,31.6%
111,1939.5,60,1774032365.10,1774032428.74,63.64,93.9%,Yes,✓ Completed,47.4%
112,862.0,60,1774032420.12,1774032483.94,63.82,93.6%,Yes,✓ Completed,21.0%
113,1293.0,60,1774032425.12,1774032488.95,63.83,93.6%,Yes,✓ Completed,31.6%
114,1939.5,60,1774032430.12,1774032493.83,63.70,93.8%,Yes,✓ Completed,47.4%
115,862.0,60,1774032485.15,1774032548.90,63.75,93.8%,Yes,✓ Completed,21.0%
116,1293.0,60,1774032490.15,1774032553.90,63.75,93.8%,Yes,✓ Completed,31.6%
117,1939.5,60,1774032495.16,1774032558.88,63.72,93.8%,Yes,✓ Completed,47.4%
118,862.0,60,1774032550.18,1774032613.98,63.80,93.7%,Yes,✓ Completed,21.0%
119,1293.0,60,1774032555.18,1774032618.96,63.77,93.7%,Yes,✓ Completed,31.6%
120,1939.5,60,1774032560.18,1774032623.82,63.63,93.9%,Yes,✓ Completed,47.4%
121,862.0,60,1774032615.20,1774032679.07,63.87,93.6%,Yes,✓ Completed,21.0%
122,1293.0,60,1774032620.20,1774032683.97,63.76,93.7%,Yes,✓ Completed,31.6%
123,1939.5,60,1774032625.21,1774032688.95,63.73,93.8%,Yes,✓ Completed,47.4%
124,862.0,60,1774032680.23,1774032744.05,63.82,93.6%,Yes,✓ Completed,21.0%
125,1293.0,60,1774032685.23,1774032749.06,63.83,93.6%,Yes,✓ Completed,31.6%
126,1939.5,60,1774032690.24,1774032754.05,63.81,93.6%,Yes,✓ Completed,47.4%
127,862.0,60,1774032745.26,1774032809.13,63.87,93.6%,Yes,✓ Completed,21.0%
128,1293.0,60,1774032750.26,1774032814.07,63.80,93.7%,Yes,✓ Completed,31.6%
129,1939.5,60,1774032755.27,1774032818.95,63.68,93.9%,Yes,✓ Completed,47.4%
130,862.0,60,1774032810.29,1774032873.99,63.70,93.8%,Yes,✓ Completed,21.0%
131,1293.0,60,1774032815.29,1774032879.28,63.99,93.4%,Yes,✓ Completed,31.6%
132,1939.5,60,1774032820.30,1774032883.96,63.66,93.9%,Yes,✓ Completed,47.4%
133,862.0,60,1774032875.32,1774032939.08,63.76,93.7%,Yes,✓ Completed,21.0%
134,1293.0,60,1774032880.32,1774032944.08,63.76,93.7%,Yes,✓ Completed,31.6%
135,1939.5,60,1774032885.33,1774032949.05,63.72,93.8%,Yes,✓ Completed,47.4%
136,862.0,60,1774032940.35,1774033004.14,63.79,93.7%,Yes,✓ Completed,21.0%
137,1293.0,60,1774032945.35,1774033009.05,63.70,93.8%,Yes,✓ Completed,31.6%
138,1939.5,60,1774032950.35,1774033014.14,63.79,93.7%,Yes,✓ Completed,47.4%
139,862.0,60,1774033005.37,1774033069.14,63.77,93.7%,Yes,✓ Completed,21.0%
140,1293.0,60,1774033010.37,1774033074.10,63.74,93.8%,Yes,✓ Completed,31.6%
141,1939.5,60,1774033015.37,1774033079.00,63.63,94.0%,Yes,✓ Completed,47.4%
142,862.0,60,1774033070.39,1774033134.09,63.70,93.8%,Yes,✓ Completed,21.0%
143,1293.0,60,1774033075.39,1774033139.08,63.69,93.8%,Yes,✓ Completed,31.6%
144,1939.5,60,1774033080.39,1774033144.17,63.77,93.7%,Yes,✓ Completed,47.4%
145,862.0,60,1774033135.41,1774033199.20,63.79,93.7%,Yes,✓ Completed,21.0%
146,1293.0,60,1774033140.41,1774033204.11,63.70,93.8%,Yes,✓ Completed,31.6%
147,1939.5,60,1774033145.41,1774033209.20,63.79,93.7%,Yes,✓ Completed,47.4%
148,862.0,60,1774033200.42,1774033264.23,63.80,93.7%,Yes,✓ Completed,21.0%
149,1293.0,60,1774033205.43,1774033269.20,63.78,93.7%,Yes,✓ Completed,31.6%
150,1939.5,60,1774033210.43,1774033274.17,63.74,93.8%,Yes,✓ Completed,47.4%
151,862.0,60,1774033265.44,1774033329.31,63.86,93.6%,Yes,✓ Completed,21.0%
152,1293.0,60,1774033270.45,1774033334.26,63.81,93.6%,Yes,✓ Completed,31.6%
153,1939.5,60,1774033275.45,1774033339.25,63.79,93.7%,Yes,✓ Completed,47.4%
154,862.0,60,1774033330.47,1774033394.35,63.87,93.5%,Yes,✓ Completed,21.0%
155,1293.0,60,1774033335.48,1774033399.13,63.66,93.9%,Yes,✓ Completed,31.6%
156,1939.5,60,1774033340.48,1774033404.42,63.93,93.4%,Yes,✓ Completed,47.4%
157,862.0,60,1774033395.49,1774033459.49,64.00,93.3%,Yes,✓ Completed,21.0%
158,1293.0,60,1774033400.50,1774033464.52,64.02,93.3%,Yes,✓ Completed,31.6%
159,1939.5,60,1774033405.50,1774033469.62,64.12,93.1%,Yes,✓ Completed,47.4%
160,862.0,60,1774033460.52,1774033524.42,63.90,93.5%,Yes,✓ Completed,21.0%
161,1293.0,60,1774033465.53,1774033529.32,63.79,93.7%,Yes,✓ Completed,31.6%
162,1939.5,60,1774033470.53,1774033534.50,63.96,93.4%,Yes,✓ Completed,47.4%
163,862.0,60,1774033525.55,1774033589.24,63.69,93.9%,Yes,✓ Completed,21.0%
164,1293.0,60,1774033530.56,1774033594.41,63.85,93.6%,Yes,✓ Completed,31.6%
165,1939.5,60,1774033535.56,1774033599.28,63.72,93.8%,Yes,✓ Completed,47.4%
166,862.0,60,1774033590.58,N/A,0.00,N/A,No,✗ Failed,21.0%
167,1293.0,60,1774033595.58,N/A,0.00,N/A,No,✗ Failed,31.6%
168,1939.5,60,1774033600.58,N/A,0.00,N/A,No,✗ Failed,47.4%

SUMMARY STATISTICS
Metric,Value,Unit
Total Containers Executed,168,count
Successful Containers,165,count
Failed Containers,3,count
Success Rate,98.2,%

MEMORY UTILIZATION (WITH RESET EVERY 3)
Peak Cycle Utilization,99.96%,C1+C2+C3 = 4094.5 / 4096 MB
Cycle Memory (C1),862.0,MB (position 1)
Cycle Memory (C2),1293.0,MB (position 2)
Cycle Memory (C3),1939.5,MB (position 3)
Cycle Total,4094.5,MB (total per cycle)
