CONTAINER EXECUTION DATA
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5

Container ID,Memory Allocated (MB),Expected Duration (s),Launch Time (s),Completion Time (s),Actual Duration (s),Duration Accuracy,Success,Execution Status,Memory Efficiency %
65,1293.0,60,1773946391.53,1773946455.18,63.65,93.9%,Yes,✓ Completed,31.6%
66,1939.5,60,1773946396.53,1773946460.11,63.58,94.0%,Yes,✓ Completed,47.4%
67,862.0,60,1773946451.55,1773946515.13,63.58,94.0%,Yes,✓ Completed,21.0%
68,1293.0,60,1773946456.55,1773946520.13,63.58,94.0%,Yes,✓ Completed,31.6%
69,1939.5,60,1773946461.56,1773946525.07,63.51,94.1%,Yes,✓ Completed,47.4%
70,862.0,60,1773946516.58,1773946580.21,63.63,94.0%,Yes,✓ Completed,21.0%
71,1293.0,60,1773946521.58,1773946585.24,63.66,93.9%,Yes,✓ Completed,31.6%
72,1939.5,60,1773946526.58,1773946590.13,63.54,94.1%,Yes,✓ Completed,47.4%
73,862.0,60,1773946581.61,1773946645.28,63.67,93.9%,Yes,✓ Completed,21.0%
74,1293.0,60,1773946586.61,1773946650.30,63.69,93.8%,Yes,✓ Completed,31.6%
75,1939.5,60,1773946591.61,1773946655.11,63.50,94.2%,Yes,✓ Completed,47.4%
76,862.0,60,1773946646.63,1773946710.12,63.49,94.2%,Yes,✓ Completed,21.0%
77,1293.0,60,1773946651.64,1773946715.20,63.56,94.1%,Yes,✓ Completed,31.6%
78,1939.5,60,1773946656.64,1773946720.10,63.46,94.2%,Yes,✓ Completed,47.4%
79,862.0,60,1773946711.66,1773946775.29,63.63,94.0%,Yes,✓ Completed,21.0%
80,1293.0,60,1773946716.67,1773946780.31,63.64,93.9%,Yes,✓ Completed,31.6%
81,1939.5,60,1773946721.67,1773946785.33,63.66,93.9%,Yes,✓ Completed,47.4%
82,862.0,60,1773946776.69,1773946840.31,63.62,94.0%,Yes,✓ Completed,21.0%
83,1293.0,60,1773946781.69,1773946845.31,63.62,94.0%,Yes,✓ Completed,31.6%
84,1939.5,60,1773946786.69,1773946850.30,63.60,94.0%,Yes,✓ Completed,47.4%
85,862.0,60,1773946841.72,1773946905.28,63.56,94.1%,Yes,✓ Completed,21.0%
86,1293.0,60,1773946846.72,1773946910.33,63.61,94.0%,Yes,✓ Completed,31.6%
87,1939.5,60,1773946851.72,1773946915.24,63.51,94.1%,Yes,✓ Completed,47.4%
88,862.0,60,1773946906.75,1773946970.36,63.61,94.0%,Yes,✓ Completed,21.0%
89,1293.0,60,1773946911.75,1773946975.28,63.53,94.1%,Yes,✓ Completed,31.6%
90,1939.5,60,1773946916.76,1773946980.40,63.64,93.9%,Yes,✓ Completed,47.4%
91,862.0,60,1773946971.77,1773947035.40,63.63,94.0%,Yes,✓ Completed,21.0%
92,1293.0,60,1773946976.77,1773947040.42,63.65,93.9%,Yes,✓ Completed,31.6%
93,1939.5,60,1773946981.77,1773947045.25,63.47,94.2%,Yes,✓ Completed,47.4%
94,862.0,60,1773947036.80,1773947100.33,63.53,94.1%,Yes,✓ Completed,21.0%
95,1293.0,60,1773947041.80,1773947105.27,63.47,94.2%,Yes,✓ Completed,31.6%
96,1939.5,60,1773947046.80,1773947110.26,63.46,94.2%,Yes,✓ Completed,47.4%
97,862.0,60,1773947101.82,1773947165.41,63.59,94.0%,Yes,✓ Completed,21.0%
98,1293.0,60,1773947106.83,1773947170.29,63.46,94.2%,Yes,✓ Completed,31.6%
99,1939.5,60,1773947111.83,1773947175.49,63.66,93.9%,Yes,✓ Completed,47.4%
100,862.0,60,1773947166.85,1773947230.53,63.69,93.9%,Yes,✓ Completed,21.0%
