CONTAINER EXECUTION DATA
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5

Container ID,Memory Allocated (MB),Expected Duration (s),Launch Time (s),Completion Time (s),Actual Duration (s),Duration Accuracy,Success,Execution Status,Memory Efficiency %
1,862.0,60,1773936615.64,1773936679.46,63.82,93.6%,Yes,✓ Completed,21.0%
2,1293.0,60,1773936620.65,1773936684.38,63.73,93.8%,Yes,✓ Completed,31.6%
3,1939.5,60,1773936625.65,1773936689.53,63.87,93.5%,Yes,✓ Completed,47.4%
4,862.0,60,1773936680.67,1773936744.49,63.81,93.6%,Yes,✓ Completed,21.0%
5,1293.0,60,1773936685.67,1773936749.47,63.79,93.7%,Yes,✓ Completed,31.6%
6,1939.5,60,1773936690.68,1773936754.51,63.83,93.6%,Yes,✓ Completed,47.4%
7,862.0,60,1773936745.69,1773936809.54,63.84,93.6%,Yes,✓ Completed,21.0%
8,1293.0,60,1773936750.70,1773936814.55,63.85,93.6%,Yes,✓ Completed,31.6%
9,1939.5,60,1773936755.70,1773936819.58,63.88,93.5%,Yes,✓ Completed,47.4%
10,862.0,60,1773936810.72,1773936874.70,63.99,93.4%,Yes,✓ Completed,21.0%
11,1293.0,60,1773936815.72,1773936879.49,63.77,93.7%,Yes,✓ Completed,31.6%
12,1939.5,60,1773936820.73,1773936884.75,64.02,93.3%,Yes,✓ Completed,47.4%
13,862.0,60,1773936875.74,1773936939.54,63.80,93.7%,Yes,✓ Completed,21.0%
14,1293.0,60,1773936880.75,1773936944.51,63.77,93.7%,Yes,✓ Completed,31.6%
15,1939.5,60,1773936885.75,1773936949.54,63.79,93.7%,Yes,✓ Completed,47.4%
16,862.0,60,1773936940.77,1773937004.60,63.83,93.6%,Yes,✓ Completed,21.0%
17,1293.0,60,1773936945.77,1773937009.62,63.85,93.6%,Yes,✓ Completed,31.6%
18,1939.5,60,1773936950.77,1773937014.56,63.78,93.7%,Yes,✓ Completed,47.4%
19,862.0,60,1773937005.79,1773937069.59,63.80,93.7%,Yes,✓ Completed,21.0%
20,1293.0,60,1773937010.80,1773937074.53,63.74,93.8%,Yes,✓ Completed,31.6%
21,1939.5,60,1773937015.80,1773937079.58,63.78,93.7%,Yes,✓ Completed,47.4%
22,862.0,60,1773937070.81,1773937134.63,63.81,93.6%,Yes,✓ Completed,21.0%
23,1293.0,60,1773937075.82,1773937139.63,63.81,93.6%,Yes,✓ Completed,31.6%
24,1939.5,60,1773937080.82,1773937144.59,63.77,93.7%,Yes,✓ Completed,47.4%
25,862.0,60,1773937135.84,1773937199.65,63.81,93.7%,Yes,✓ Completed,21.0%
26,1293.0,60,1773937140.84,1773937204.66,63.82,93.6%,Yes,✓ Completed,31.6%
27,1939.5,60,1773937145.85,1773937209.60,63.76,93.7%,Yes,✓ Completed,47.4%
28,862.0,60,1773937200.86,1773937264.76,63.90,93.5%,Yes,✓ Completed,21.0%
29,1293.0,60,1773937205.87,1773937269.70,63.83,93.6%,Yes,✓ Completed,31.6%
30,1939.5,60,1773937210.87,1773937274.67,63.79,93.7%,Yes,✓ Completed,47.4%
31,862.0,60,1773937265.89,1773937329.60,63.71,93.8%,Yes,✓ Completed,21.0%
32,1293.0,60,1773937270.89,1773937334.83,63.93,93.4%,Yes,✓ Completed,31.6%
33,1939.5,60,1773937275.90,1773937339.55,63.65,93.9%,Yes,✓ Completed,47.4%
34,862.0,60,1773937330.91,1773937394.81,63.90,93.5%,Yes,✓ Completed,21.0%
35,1293.0,60,1773937335.92,1773937399.79,63.87,93.5%,Yes,✓ Completed,31.6%
36,1939.5,60,1773937340.92,1773937404.86,63.95,93.4%,Yes,✓ Completed,47.4%
37,862.0,60,1773937395.94,1773937459.67,63.73,93.8%,Yes,✓ Completed,21.0%
38,1293.0,60,1773937400.94,1773937464.67,63.73,93.8%,Yes,✓ Completed,31.6%
39,1939.5,60,1773937405.95,1773937469.72,63.77,93.7%,Yes,✓ Completed,47.4%
40,862.0,60,1773937460.97,1773937524.80,63.83,93.6%,Yes,✓ Completed,21.0%
41,1293.0,60,1773937465.97,1773937529.85,63.88,93.5%,Yes,✓ Completed,31.6%
42,1939.5,60,1773937470.97,1773937534.76,63.79,93.7%,Yes,✓ Completed,47.4%
43,862.0,60,1773937525.99,1773937589.82,63.83,93.6%,Yes,✓ Completed,21.0%
44,1293.0,60,1773937530.99,1773937594.96,63.97,93.4%,Yes,✓ Completed,31.6%
45,1939.5,60,1773937536.00,1773937599.77,63.77,93.7%,Yes,✓ Completed,47.4%
46,862.0,60,1773937591.02,1773937654.91,63.89,93.5%,Yes,✓ Completed,21.0%
47,1293.0,60,1773937596.02,1773937659.93,63.91,93.5%,Yes,✓ Completed,31.6%
48,1939.5,60,1773937601.03,1773937664.81,63.78,93.7%,Yes,✓ Completed,47.4%
49,862.0,60,1773937656.05,1773937719.77,63.72,93.8%,Yes,✓ Completed,21.0%
50,1293.0,60,1773937661.05,1773937724.96,63.91,93.5%,Yes,✓ Completed,31.6%
51,1939.5,60,1773937666.05,1773937729.81,63.76,93.7%,Yes,✓ Completed,47.4%
52,862.0,60,1773937721.08,1773937784.85,63.77,93.7%,Yes,✓ Completed,21.0%
53,1293.0,60,1773937726.08,1773937789.83,63.75,93.8%,Yes,✓ Completed,31.6%
54,1939.5,60,1773937731.08,1773937794.89,63.81,93.6%,Yes,✓ Completed,47.4%
55,862.0,60,1773937786.11,1773937850.03,63.92,93.5%,Yes,✓ Completed,21.0%
56,1293.0,60,1773937791.11,1773937854.96,63.84,93.6%,Yes,✓ Completed,31.6%
57,1939.5,60,1773937796.12,1773937859.93,63.81,93.6%,Yes,✓ Completed,47.4%
58,862.0,60,1773937851.14,1773937914.99,63.84,93.6%,Yes,✓ Completed,21.0%
59,1293.0,60,1773937856.15,1773937920.05,63.91,93.5%,Yes,✓ Completed,31.6%
60,1939.5,60,1773937861.15,1773937924.99,63.85,93.6%,Yes,✓ Completed,47.4%
61,862.0,60,1773937916.18,1773937980.04,63.86,93.6%,Yes,✓ Completed,21.0%
62,1293.0,60,1773937921.18,1773937985.11,63.93,93.4%,Yes,✓ Completed,31.6%
63,1939.5,60,1773937926.18,1773937990.01,63.83,93.6%,Yes,✓ Completed,47.4%
64,862.0,60,1773937981.21,1773938045.05,63.85,93.6%,Yes,✓ Completed,21.0%
65,1293.0,60,1773937986.21,1773938050.02,63.80,93.7%,Yes,✓ Completed,31.6%
66,1939.5,60,1773937991.22,1773938055.00,63.78,93.7%,Yes,✓ Completed,47.4%
67,862.0,60,1773938046.23,1773938110.11,63.88,93.5%,Yes,✓ Completed,21.0%
68,1293.0,60,1773938051.24,1773938115.22,63.99,93.4%,Yes,✓ Completed,31.6%
69,1939.5,60,1773938056.24,1773938120.07,63.83,93.6%,Yes,✓ Completed,47.4%
70,862.0,60,1773938111.26,1773938175.18,63.92,93.5%,Yes,✓ Completed,21.0%
71,1293.0,60,1773938116.27,1773938180.19,63.92,93.5%,Yes,✓ Completed,31.6%
72,1939.5,60,1773938121.27,1773938185.13,63.86,93.6%,Yes,✓ Completed,47.4%
73,862.0,60,1773938176.30,1773938240.03,63.73,93.8%,Yes,✓ Completed,21.0%
74,1293.0,60,1773938181.30,1773938245.35,64.05,93.3%,Yes,✓ Completed,31.6%
75,1939.5,60,1773938186.30,1773938250.05,63.74,93.8%,Yes,✓ Completed,47.4%
76,862.0,60,1773938241.33,1773938305.19,63.87,93.6%,Yes,✓ Completed,21.0%
77,1293.0,60,1773938246.33,1773938310.21,63.88,93.5%,Yes,✓ Completed,31.6%
78,1939.5,60,1773938251.33,1773938315.12,63.79,93.7%,Yes,✓ Completed,47.4%
79,862.0,60,1773938306.36,1773938370.21,63.86,93.6%,Yes,✓ Completed,21.0%
80,1293.0,60,1773938311.36,1773938375.20,63.84,93.6%,Yes,✓ Completed,31.6%
81,1939.5,60,1773938316.37,1773938380.08,63.71,93.8%,Yes,✓ Completed,47.4%
82,862.0,60,1773938371.39,1773938435.27,63.88,93.5%,Yes,✓ Completed,21.0%
