CONTAINER LIFECYCLE STATE TRACKING
State Machine: 7-State Container Lifecycle
Configuration:
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

STATE DEFINITIONS
State,Phase,Description,Actions
CREATED,Registration,Container registered in scheduler,Memory allocated from pool
STARTING,Initialization,Subprocess being created,Process object created
ALLOCATING_MEMORY,GPU Setup,GPU memory allocation in progress,torch.zeros() executed
RUNNING,Execution,Container actively using GPU,Worker process executing
RELEASING_MEMORY,Cleanup,Memory being released,torch.cuda.empty_cache() called
COMPLETED,Final (Success),Container completed successfully,"Exit code 0, memory freed"
FAILED,Final (Error),Container failed with error,"Exit code != 0, memory freed"

Container ID,Current State,Timestamp (s),Time Since Launch (s),Memory Allocated (MB),Container Status,State Description
71,RUNNING,1773938116.27,0.00,1293.0,SUCCESS,Active execution on GPU
72,RUNNING,1773938121.27,0.00,1939.5,SUCCESS,Active execution on GPU
73,RUNNING,1773938176.30,0.00,862.0,SUCCESS,Active execution on GPU
74,RUNNING,1773938181.30,0.00,1293.0,SUCCESS,Active execution on GPU
75,RUNNING,1773938186.31,0.00,1939.5,SUCCESS,Active execution on GPU
76,RUNNING,1773938241.33,0.00,862.0,SUCCESS,Active execution on GPU
77,RUNNING,1773938246.33,0.00,1293.0,SUCCESS,Active execution on GPU
78,RUNNING,1773938251.33,0.00,1939.5,SUCCESS,Active execution on GPU
79,RUNNING,1773938306.36,0.00,862.0,SUCCESS,Active execution on GPU
80,RUNNING,1773938311.36,0.00,1293.0,SUCCESS,Active execution on GPU
81,RUNNING,1773938316.37,0.00,1939.5,SUCCESS,Active execution on GPU
82,RUNNING,1773938371.39,0.00,862.0,SUCCESS,Active execution on GPU
83,RUNNING,1773938376.39,0.00,1293.0,SUCCESS,Active execution on GPU
84,RUNNING,1773938381.39,0.00,1939.5,SUCCESS,Active execution on GPU
85,RUNNING,1773938436.42,0.00,862.0,SUCCESS,Active execution on GPU
86,RUNNING,1773938441.42,0.00,1293.0,SUCCESS,Active execution on GPU
87,RUNNING,1773938446.43,0.00,1939.5,SUCCESS,Active execution on GPU
88,RUNNING,1773938501.45,0.00,862.0,SUCCESS,Active execution on GPU
89,RUNNING,1773938506.45,0.00,1293.0,SUCCESS,Active execution on GPU
90,RUNNING,1773938511.45,0.00,1939.5,SUCCESS,Active execution on GPU
91,RUNNING,1773938566.47,0.00,862.0,SUCCESS,Active execution on GPU
92,RUNNING,1773938571.48,0.00,1293.0,SUCCESS,Active execution on GPU
93,RUNNING,1773938576.48,0.00,1939.5,SUCCESS,Active execution on GPU
94,RUNNING,1773938631.50,0.00,862.0,SUCCESS,Active execution on GPU
95,RUNNING,1773938636.50,0.00,1293.0,SUCCESS,Active execution on GPU
96,RUNNING,1773938641.51,0.00,1939.5,SUCCESS,Active execution on GPU
97,RUNNING,1773938696.52,0.00,862.0,SUCCESS,Active execution on GPU
98,RUNNING,1773938701.53,0.00,1293.0,SUCCESS,Active execution on GPU
99,RUNNING,1773938706.53,0.00,1939.5,SUCCESS,Active execution on GPU
100,RUNNING,1773938761.55,0.00,862.0,SUCCESS,Active execution on GPU
101,RUNNING,1773938766.55,0.00,1293.0,SUCCESS,Active execution on GPU
102,RUNNING,1773938771.56,0.00,1939.5,SUCCESS,Active execution on GPU
103,RUNNING,1773938826.58,0.00,862.0,SUCCESS,Active execution on GPU
104,RUNNING,1773938831.59,0.00,1293.0,SUCCESS,Active execution on GPU
105,RUNNING,1773938836.59,0.00,1939.5,SUCCESS,Active execution on GPU
